Year,Quarter,Period,Ext_debt,Gen_gov,Gen_gov_ST,Gen_gov_ST_Debt,Gen_gov_ST_Loans,Gen_gov_ST_Trade_credit,Gen_gov_LT,Gen_gov_LT_Debt,Gen_gov_LT_Loans,Gen_gov_LT_Trade_credit,Cent_Bank,Cent_Bank_ST,Cent_Bank_ST_Debt,Cent_Bank_ST_Loans,Cent_Bank_ST_Ccy__deposits,Cent_Bank_ST_Other_debt,Cent_Bank_LT,Cent_Bank_LT_Debt,Cent_Bank_LT_Loans,Cent_Bank_LT_Ccy_deposits,Cent_Bank_LT_Other_debt,ODCs,ODCs_ST,ODCs_ST_Debt,ODCs_ST_Loans,ODCs_ST_Ccy_deposits,ODCs_ST_Other_debt,ODCs_LT,ODCs_LT_Debt,ODCs_LT_Loans,ODCs_LT_Ccy_deposits,ODCs_LT_Other_debt,Other_sectors,Other_ST,Other_ST_Debt,Other_ST_Loans,Other_ST_Ccy_deposits,Other_ST_Trade_credit,Other_ST_Other_debt,Other_LT,Other_LT_Debt,Other_LT_Loans,Other_LT_Ccy_deposits,Other_LT_Trade_credit,Other_LT_Other_debt,OFCs,OFCs_ST,OFCs_ST_Debt,OFCs_ST_Loans,OFCs_ST_Ccy_deposits,OFCs_ST_Trade_credit,OFCs_ST_Other_debt,OFCs_LT,OFCs_LT_Debt,OFCs_LT_Loans,OFCs_LT_Ccy_deposits,OFCs_LT_Trade_credit,OFCs_LT_Other_debt,NFCs_HHs_NPISHs,NFCs_HHs_NPISHs_ST,NFCs_HHs_NPISHs_ST_Debt,NFCs_HHs_NPISHs_ST_Loans,NFCs_HHs_NPISHs_ST_Ccy_deposits,NFCs_HHs_NPISHs_ST_Trade_credit,NFCs_HHs_NPISHs_ST_Other_debt,NFCs_HHs_NPISHs_LT,NFCs_HHs_NPISHs_LT_Debt,NFCs_HHs_NPISHs_LT_Loans,NFCs_HHs_NPISHs_LT_Ccy_deposits,NFCs_HHs_NPISHs_LT_Trade_credit,NFCs_HHs_NPISHs_LT_Other_debt,DI_Intercompany_lending,Debt_liabs_DIE_to_DI,Debt_liabs_DI_to_DIE,Debt_liabs_btw_fellow_enterprises,Gross_Ext_Debt,Short_term,Long_term,Debt_GDP,Int_reserves_ST_debt,DSP,DSP_Principal,DSP_Interest,DSP_Public,DSP_Public_Principal,DSP_Public_Interest,DSP_Other_sectors,DSP_Other_Principal,DSP_Other_Interest,Export_goods_services,DSR,DSR_Public,DSR_Others
2015,4,2015Q4,131078.21,18772.55,100,100,0,0,18672.55,16418.94,2253.62,0,1815.35,289.96,289.96,0,0,0,1525.39,181.19,0,0,1344.21,31325.95,18520.03,0.1,14014.96,3055.37,1449.59,12805.92,314.64,12488.46,2.82,0,79164.35,33665.97,1342.52,9704.48,0,22464.52,154.44,45498.39,9316.43,35493.69,0,688.26,0,15460.17,2281.52,245.53,1998.85,0,0,37.14,13178.65,3858.32,9320.33,0,0,0,63704.18,31384.44,1096.99,7705.63,0,22464.52,117.3,32319.74,5458.11,26173.37,0,688.26,0,16789.07,14161.74,1157.22,1470.1,131078.21,52575.96,78502.25,31.98,297.69,4283.4,3934.27,349.13,178.2,163.76,14.43,4105.21,3770.51,334.7,67978.72,6.3,0.26,6.04
2016,1,2016Q1,140030.92,19949.71,400.86,400.86,0,0,19548.85,17065.01,2483.84,0,4489.68,2773.18,2773.18,0,0,0,1716.49,349.8,0,0,1366.69,31247.32,18606.06,0.04,13234.43,3912.23,1459.37,12641.26,329.35,12307.97,3.94,0,84344.21,38414.88,1140.5,13399.96,0,23643.18,231.25,45929.32,9032.93,36230.82,0,665.57,0,15766.66,2307.04,174.64,2057.74,0,0,74.65,13459.62,3864.79,9594.83,0,0,0,68577.55,36107.85,965.86,11342.21,0,23643.18,156.59,32469.7,5168.14,26635.99,0,665.57,0,20649.9,14407.6,1167.27,5075.03,140030.92,60194.99,79835.93,34.43,290.84,3021.5,2693.15,328.36,191.07,171.46,19.6,2830.44,2521.68,308.75,70158.79,4.31,0.27,4.04
2016,2,2016Q2,143704.04,20480.18,280.33,280.33,0,0,20199.85,17598.56,2601.29,0,4462.12,2626.64,2626.64,0,0,0,1835.48,477.55,0,0,1357.93,33022.08,19819.9,0.04,14656.54,3851.48,1311.84,13202.19,322.52,12875.84,3.82,0,85739.66,39189.95,891.53,14584.15,0,23430.72,283.56,46549.7,9036.84,36905.03,0,607.83,0,15961.1,2532.57,169.19,2283.03,0,0,80.35,13428.53,3858.21,9570.32,0,0,0,69778.56,36657.38,722.34,12301.12,0,23430.72,203.2,33121.17,5178.62,27334.72,0,607.83,0,20239.42,13989.53,1253.02,4996.87,143704.04,61916.82,81787.21,35.46,288.56,3369.52,2989.16,380.36,247.26,220.49,26.77,3122.26,2768.66,353.59,67039.61,5.03,0.37,4.66
2016,3,2016Q3,141335.03,21933.6,561.8,561.8,0,0,21371.79,18687.95,2683.84,0,5384.55,3535.06,3535.06,0,0,0,1849.49,494.87,0,0,1354.62,31333.95,18254.12,0.02,13086.73,3680.48,1486.88,13079.84,440.03,12636.43,3.38,0,82682.93,35332.76,1009.51,11367.74,0,22764.07,191.44,47350.17,9117.47,37739.38,0,493.33,0,15414.76,2499.87,193.42,2272.65,0,0,33.8,12914.89,3451.16,9463.73,0,0,0,67268.17,32832.89,816.1,9095.08,0,22764.07,157.64,34435.28,5666.31,28275.65,0,493.33,0,16781.1,13553.68,1185.03,2042.39,141335.03,57683.74,83651.29,34.61,312.86,5284.21,4912.86,371.35,315.66,292.33,23.33,4968.55,4620.52,348.02,71401.19,7.4,0.44,6.96
2016,4,2016Q4,132833.74,19619.04,305.8,305.8,0,0,19313.24,16785.62,2527.61,0,3000.73,1366.54,1366.54,0,0,0,1634.18,329.76,0,0,1304.43,30556.64,18715.56,0.02,13897.87,3599.31,1218.35,11841.08,419.54,11418.44,3.09,0,79657.34,34074.52,1522.5,10675.48,0,21747.71,128.82,45582.82,9586.24,35639.74,0,356.85,0,15237.38,2477.04,190.44,2259.56,0,0,27.04,12760.34,3527.09,9233.25,0,0,0,64419.95,31597.47,1332.06,8415.93,0,21747.71,101.77,32822.48,6059.15,26406.49,0,356.85,0,16107.74,13057.85,1088.63,1961.26,132833.74,54462.42,78371.32,32.43,315.54,4944.68,4462.62,482.06,604.63,497.17,107.46,4340.04,3965.44,374.6,70904.54,6.97,0.85,6.12
2017,1,2017Q1,137949.39,22000.84,167.03,167.03,0,0,21833.81,19094.44,2739.38,0,3561.59,1986.49,1893.14,0,93.35,0,1575.1,257.9,0,0,1317.21,31198.2,18895.29,0.02,14144.25,3567.14,1183.87,12302.92,421.2,11878.52,3.19,0,81188.76,35082.78,1656.77,10653.88,0,22622.07,150.06,46105.98,9852.04,35930.54,0,323.4,0,14907.05,2398.87,179.9,2183.48,0,0,35.49,12508.18,3770.99,8737.18,0,0,0,66281.71,32683.91,1476.87,8470.4,0,22622.07,114.57,33597.8,6081.05,27193.35,0,323.4,0,16087.7,13158.54,1172.64,1756.51,137949.39,56131.59,81817.81,33.42,323.68,3653.72,3117.12,536.59,498.49,347.6,150.89,3155.23,2769.52,385.71,74619.94,4.9,0.67,4.23
2017,2,2017Q2,142922.25,23670,150,150,0,0,23520,20766.94,2753.06,0,3267.81,1580.99,1488.33,0,92.67,0,1686.81,335.46,0,0,1351.35,32289.99,19218.14,0.02,14085.46,3556.82,1575.84,13071.85,427.23,12642.09,2.54,0,83694.46,36142.35,1546.08,11143.45,0,23257.5,195.33,47552.1,10553.03,36657.32,0,341.76,0,15358.67,2777.72,215.44,2522.1,0,0,40.17,12580.95,3747.69,8833.26,0,0,0,68335.79,33364.64,1330.64,8621.34,0,23257.5,155.16,34971.15,6805.34,27824.06,0,341.76,0,16895.58,13719.33,1322.54,1853.71,142922.25,57091.48,85830.77,34.39,326.15,3943.19,3363.92,579.27,377.09,208.34,168.75,3566.1,3155.58,410.52,71687.86,5.5,0.53,4.97
2017,3,2017Q3,152728.87,25645.13,453.87,453.87,0,0,25191.26,22419.26,2772,0,5120.74,2592.12,2498.56,0,93.56,0,2528.62,1156.07,0,0,1372.55,34654.98,22461.59,0.03,17289.45,3579.35,1592.77,12193.39,506.72,11684.33,2.34,0,87308.02,39042.75,2168.52,11714.1,0,24991.34,168.78,48265.28,11800.81,36110.67,0,353.8,0,16219.24,3670.59,915.16,2713.4,0,0,42.02,12548.66,4386.03,8162.63,0,0,0,71088.78,35372.16,1253.35,9000.7,0,24991.34,126.76,35716.62,7414.78,27948.04,0,353.8,0,16912.04,13721.46,1317.01,1873.57,152728.87,64550.32,88178.55,36.31,310.49,6494.14,5924.38,569.76,450.12,275.24,174.88,6044.02,5649.15,394.87,80152.01,8.1,0.56,7.54
2017,4,2017Q4,155948.91,25136.81,386.39,386.39,0,0,24750.42,21940.85,2809.57,0,6429.26,3701.4,3684.6,0,16.8,0,2727.86,1367.88,0,0,1359.98,36503.68,23556.51,0.01,18190.11,3780.65,1585.75,12947.16,489.65,12455.59,1.92,0,87879.17,41093.89,2218.52,12871.99,0,25822.59,180.8,46785.28,11420.85,35012.12,0,352.31,0,15858.49,3925.41,807.04,3085.58,0,0,32.8,11933.08,4125.96,7807.12,0,0,0,72020.68,37168.48,1411.48,9786.41,0,25822.59,148.01,34852.2,7294.89,27205,0,352.31,0,17298.13,13757.39,1394.5,2146.25,155948.91,68738.19,87210.72,36.61,294.76,3700.96,3094.62,606.34,537.8,352.56,185.24,3163.16,2742.06,421.1,80252.96,4.61,0.67,3.94
2018,1,2018Q1,158345.32,25928.23,144.72,144.72,0,0,25783.51,22836.86,2946.65,0,7845.72,3905.88,3888.79,0,17.1,0,3939.83,2528.12,0,0,1411.72,35335.58,21974.06,0.01,15708.24,4192.84,2072.98,13361.52,431.36,12479.34,450.82,0,89235.8,41695.39,1488.53,14654.91,0,25372.55,179.4,47540.4,10798.45,36350.2,0,391.75,0,16638.56,4424.89,545.39,3848.97,0,0,30.53,12213.67,3747.88,8465.8,0,0,0,72597.24,37270.5,943.14,10805.94,0,25372.55,148.87,35326.73,7050.58,27884.4,0,391.75,0,17702.72,13944.72,1548.82,2209.18,158345.32,67720.06,90625.26,36.47,319.17,5576.56,4982.32,594.24,636.78,448.01,188.77,4939.78,4534.31,405.47,85093.31,6.55,0.75,5.8
2018,2,2018Q2,154861.78,24843.76,47.92,47.92,0,0,24795.84,22390.25,2405.59,0,5414.73,2103.02,2086.92,0,16.1,0,3311.72,1944.91,0,0,1366.8,34966.9,20822.44,0.01,15314.47,3791.35,1716.61,14144.46,475.44,13218.32,450.7,0,89636.39,43108.6,3078.53,13912.28,0,25943.8,173.99,46527.79,10373.28,35734.64,0,419.87,0,16082.78,4660.79,1801.09,2825.05,0,0,34.64,11421.99,3423.29,7998.7,0,0,0,73553.61,38447.81,1277.44,11087.23,0,25943.8,139.34,35105.8,6949.99,27735.94,0,419.87,0,17388.56,13627.24,1537.37,2223.95,154861.78,66081.98,88779.81,35.03,312.82,4726.49,4117.28,609.21,689.16,496.45,192.71,4037.33,3620.82,416.5,80879.27,5.84,0.86,4.98
2018,3,2018Q3,159546.39,28153.82,31.24,31.24,0,0,28122.59,25575.95,2546.64,0,5818.88,2726.56,2710.02,0,16.54,0,3092.32,1737.43,0,0,1354.88,35869.94,21567.54,0.01,15552.49,3889.83,2125.22,14302.39,467.66,13384.22,450.52,0,89703.76,41698.31,1371.46,14392.52,0,25727.57,206.75,48005.44,11572.19,35986.44,0,446.81,0,16470.48,3690.78,668.42,2988.84,0,0,33.52,12779.71,4593.97,8185.74,0,0,0,73233.27,38007.54,703.05,11403.68,0,25727.57,173.23,35225.74,6978.22,27800.71,0,446.81,0,18332.65,14188.87,1530.74,2613.04,159546.39,66023.65,93522.74,35.42,308.98,5581.46,4967.57,613.89,401.55,192.72,208.83,5179.91,4774.85,405.07,82159.8,6.79,0.48,6.31
2018,4,2018Q4,163102.95,30922.1,68.29,68.29,0,0,30853.81,28232.45,2621.36,0,4785.82,1804.38,1787.86,0,16.52,0,2981.44,1630.99,0,0,1350.45,36812.07,21134.1,0.01,15770.95,3733.19,1629.95,15677.98,854.03,14373.42,450.52,0,90582.96,40398.01,718.3,14347.27,0,25067.22,265.22,50184.95,12619.76,37075.14,0,490.05,0,16500.37,3171.54,314.33,2790.63,0,0,66.59,13328.83,4457.62,8871.21,0,0,0,74082.59,37226.47,403.96,11556.64,0,25067.22,198.64,36856.12,8162.13,28203.94,0,490.05,0,17708.9,13432.42,1478.48,2798,163102.95,63404.78,99698.17,35.54,324.33,4663.96,4026.75,637.22,249.16,25.78,223.38,4414.8,4000.97,413.83,82564.33,5.65,0.3,5.35
2019,1,2019Q1,164779.91,31219.55,60.1,60.1,0,0,31159.45,28578.84,2580.61,0,4139.2,1128.8,1111.89,0,16.91,0,3010.39,1661.27,0,0,1349.12,37562.08,22401.15,0.01,16430.78,4047.51,1922.86,15160.93,863.53,13846.84,450.56,0,91859.09,39293.97,709.48,13893.16,0,24416.81,274.52,52565.12,13022.19,39036.56,0,506.37,0,16578.48,2684.35,408.01,2208.9,0,0,67.43,13894.14,4765.29,9128.85,0,0,0,75280.6,36609.62,301.47,11684.26,0,24416.81,207.08,38670.98,8256.9,29907.71,0,506.37,0,17682.18,13197.77,1485.36,2999.05,164779.91,62884.02,101895.89,35.08,337.42,4899.56,4229.05,670.51,982.94,729.15,253.79,3916.62,3499.91,416.72,81589.2,6.01,1.2,4.8
2019,2,2019Q2,167170.47,32962.63,137.99,137.99,0,0,32824.64,30169.01,2655.63,0,5661.95,2115.07,2097.57,0,17.5,0,3546.88,2195.88,0,0,1351,36605.21,20480.51,0.01,13562.08,4700.65,2217.77,16124.71,1190.63,14481.87,452.21,0,91940.67,39475.68,697.98,14188.85,0,24060.05,528.8,52465,12739.05,39191.45,0,534.5,0,16976.87,2778.12,346.71,2362.18,0,0,69.23,14198.74,4631.73,9567.01,0,0,0,74963.81,36697.55,351.27,11826.66,0,24060.05,459.57,38266.25,8107.32,29624.44,0,534.5,0,17517.04,13090.65,1473.42,2952.98,167170.47,62209.24,104961.23,34.83,346.91,6179.03,5516.9,662.13,708.97,465.96,243.01,5470.06,5050.94,419.12,77737.79,7.95,0.91,7.04
2019,3,2019Q3,167724.17,33968.16,0,0,0,0,33968.16,31331.77,2636.39,0,4079.61,628.05,626.61,0,1.44,0,3451.55,2128.67,0,0,1322.88,36425.15,19416.58,0.37,12620.02,4590.86,2205.33,17008.57,1244.47,15306.98,457.11,0,93251.26,38894.51,951.87,14728.69,0,22688.41,525.54,54356.75,12577.06,41234.64,0,545.05,0,18678.41,2810.51,515.41,2230.68,0,0,64.41,15867.91,4422.63,11445.28,0,0,0,74572.84,36084,436.46,12498,0,22688.41,461.13,38488.84,8154.43,29789.36,0,545.05,0,19775.82,14754.99,1678.38,3342.45,167724.17,58939.14,108785.03,34.19,374.17,5052.52,4367.08,685.43,1166.17,891.59,274.58,3886.35,3475.49,410.86,83969.35,6.02,1.39,4.63
2019,4,2019Q4,171884.93,34227.93,0,0,0,0,34227.93,31526.95,2700.98,0,3791.12,466.01,464.55,0,1.46,0,3325.12,1980.34,0,0,1344.78,37673.54,19255.16,6.04,12371.39,4817.36,2060.37,18418.38,1494.72,16463.92,459.74,0,96192.35,40061.02,1634.79,14880.59,0,22949.74,595.9,56131.33,13134.35,42470.01,0,526.97,0,19800.32,3153.19,853.15,2235.02,0,0,65.01,16647.13,4402.18,12244.95,0,0,0,76392.03,36907.83,781.64,12645.56,0,22949.74,530.89,39484.2,8732.17,30225.06,0,526.97,0,19921.08,15151.43,1610.82,3158.82,171884.93,59782.18,112102.75,34.21,375.24,6190.47,5492.16,698.3,320.46,55.14,265.32,5870,5437.02,432.98,81755.92,7.57,0.39,7.18
2020,1,2020Q1,165295.3,29739.64,0,0,0,0,29739.64,27013.76,2725.88,0,2549.46,358.16,354.64,0,3.52,0,2191.3,859.74,0,0,1331.56,38730.8,20651.28,4.05,12987.38,5341.55,2318.3,18079.52,1605.95,16013.78,459.79,0,94275.41,38291.5,932.43,14300.74,0,22440.95,617.38,55983.91,13398.34,42078.97,0,506.6,0,19740.16,2466.7,430.56,1985.69,0,0,50.45,17273.46,4417.67,12855.79,0,0,0,74535.25,35824.8,501.87,12315.05,0,22440.95,566.93,38710.45,8980.67,29223.19,0,506.6,0,19098.47,14778.32,1566.6,2753.56,165295.3,59300.93,105994.37,32.39,381.9,4496.31,3798.74,697.57,692.27,434.04,258.23,3804.04,3364.69,439.34,77084.23,5.83,0.9,4.93
2020,2,2020Q2,171701.83,31063.68,32.31,32.31,0,0,31031.38,28296.77,2734.61,0,3212.74,890.06,418.72,467.13,4.21,0,2322.68,985.99,0,0,1336.69,39445.57,21402.51,4.21,13351.31,5540.52,2506.47,18043.06,1546.08,16338.79,158.18,0,97979.84,39555.45,761.04,16088.8,0,21954.74,750.87,58424.39,15229.02,42714.36,0,479.24,1.76,20227.59,2531.58,431.36,2042.44,0,0,57.79,17696.01,4440.16,13255.85,0,0,0,77752.24,37023.87,329.68,14046.36,0,21954.74,693.08,40728.38,10788.87,29458.51,0,479.24,1.76,20091.05,15520.27,1599.33,2971.45,171701.83,61880.33,109821.5,33.61,390.4,4744.62,4068.43,676.19,536.48,297.05,239.43,4208.14,3771.38,436.75,55218.27,8.59,0.97,7.62
2020,3,2020Q3,171974.12,31686.38,10.42,10.42,0,0,31675.96,28961.88,2714.08,0,2439.69,204.6,201.44,0,3.16,0,2235.1,867.13,0,0,1367.97,37946.68,20926.89,3.34,13767.62,5305.99,1849.93,17019.79,1217.09,15757.18,45.52,0,99901.37,40764.62,758.03,16736.78,0,22650.29,619.51,59136.76,15967.18,42710.73,0,458.84,0,20713.22,2542.07,431.64,2061.73,0,0,48.69,18171.15,4605.52,13565.63,0,0,0,79188.16,38222.55,326.39,14675.05,0,22650.29,570.82,40965.61,11361.66,29145.1,0,458.84,0,20220.89,15654.53,1624.07,2942.29,171974.12,61906.52,110067.6,33.49,405.54,5662.83,4988.51,674.32,290.31,44.33,245.98,5372.52,4944.18,428.35,63393.57,8.93,0.46,8.47
